Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Skill moves,Age,Nation,League,Team,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
11203,William Boyle,64,46,29,44,48,62,78,CB,2,29,England,EFL League One,Wrexham,,,,,
11203,Alessio Brambilla,64,63,50,65,62,58,66,CDM,2,23,Italy,Serie BKT,Cremonese,,,,,
11203,Oliver Braude,64,66,46,61,62,58,61,RB,2,20,Norway,Eredivisie,sc Heerenveen,,,,,
11203,Zachary Brault-Guillard,64,88,58,56,63,60,67,RM,3,25,Canada,CSSL,FC Lugano,,,,,
11203,Pedro Bravo,64,72,52,55,62,58,63,CM,2,19,Colombia,3F Superliga,FC Midtjylland,,,,,
11203,Leandro Brey,64,64,60,50,65,29,65,GK,1,21,Argentina,Sudamericana,Boca Juniors,64.0,60.0,50.0,65.0,65.0
11203,Sebastian Breza,64,63,64,50,68,33,62,GK,1,26,Canada,MLS,CF Montréal,63.0,64.0,50.0,62.0,68.0
11203,Enrico Brignola,64,76,59,62,68,35,58,RM,3,25,Italy,Serie BKT,Catanzaro,,,,,
11203,Joshua Brillante,64,47,55,60,62,60,80,CDM,2,31,Australia,A-League,WS Wanderers,,,,,
11203,Ethan Bristow,64,82,38,55,58,56,71,LB,2,22,St. Kitts and Nevis,MLS,Minnesota United,,,,,
11203,Bennit Bröger,64,66,45,59,73,35,41,CAM,3,18,Germany,Bundesliga,VfL Wolfsburg,,,,,
11203,Ryan Broom,64,83,57,63,67,56,66,CM,3,28,Wales,EFL League Two,Fleetwood Town,,,,,
11203,James Brophy,64,86,51,58,64,55,69,LM,3,30,England,EFL League One,Cambridge Utd,,,,,
11203,Jevani Brown,64,79,62,60,64,45,68,ST,3,29,Jamaica,EFL League Two,Notts County,,,,,
11203,Jordan Brown,64,66,41,56,60,61,71,CDM,2,23,England,EFL League One,Leyton Orient,,,,,
11203,Lewis Brunt,64,77,44,56,62,62,72,CB,2,23,England,EFL League One,Wrexham,,,,,
11203,Omar Bugiel,64,67,62,51,59,37,85,ST,2,30,Lebanon,EFL League Two,AFC Wimbledon,,,,,
11203,Teal Bunbury,64,67,65,59,62,41,73,ST,3,34,United States,MLS,Nashville SC,,,,,
11203,Finley Burns,64,58,36,52,59,63,67,CDM,2,21,England,EFL Championship,Hull City,,,,,
11203,Marco Bustos,64,69,61,61,66,26,53,RM,3,28,Canada,Allsvenskan,IFK Värnamo,,,,,
11203,Elvis Bwomono,64,82,42,54,62,57,68,RB,2,25,Uganda,Scottish Prem,St. Mirren,,,,,
11203,Byeon Jun Soo,64,79,28,38,50,62,80,CB,2,22,Korea Republic,K League 1,GwangJu FC,,,,,
11203,Gustavo Caballero,64,74,56,55,68,28,58,RM,3,22,Paraguay,Sudamericana,Club Nacional,,,,,
11203,Diego Caballo,64,72,56,60,62,58,64,LB,3,30,Spain,3F Superliga,AaB,,,,,
11203,Catriel Cabellos,64,67,56,63,65,54,53,CM,3,20,Peru,Libertadores,Alianza Lima,,,,,
11203,Kévin Cabral,64,85,58,56,66,45,57,LM,4,25,France,MLS,Colorado Rapids,,,,,
11203,Jefferson Caicedo,64,75,56,60,63,23,52,LM,3,29,Ecuador,Sudamericana,Técnico U.,,,,,
11203,Álex Calatrava,64,73,59,60,68,33,49,RM,3,24,Spain,LALIGA HYPERMOTION,CD Castellón,,,,,
11203,Calavera,64,64,57,60,64,64,68,CM,2,24,Spain,LALIGA HYPERMOTION,CD Castellón,,,,,
11203,Diego Calcaterra,64,51,33,45,49,65,70,CB,2,23,Argentina,Primera División,Sarmiento,,,,,
11203,Drissa Camara,64,65,57,63,65,54,58,RM,3,22,Côte d'Ivoire,Serie A Enilive,Parma,,,,,
11203,Cole Campbell,64,73,57,59,69,26,39,RM,3,18,United States,Bundesliga,Borussia Dortmund,,,,,
11203,Andy Cannon,64,70,57,62,66,61,66,CM,3,28,England,EFL League One,Wrexham,,,,,
11203,Alexis Cantero,64,76,27,56,59,59,64,LB,2,21,Paraguay,Sudamericana,Guaraní,,,,,
11203,Marko Capan,64,59,44,69,63,50,60,CM,3,20,Croatia,Liga Hrvatska,Hajduk Split,,,,,
11203,Capita,64,75,55,56,71,23,47,LW,3,22,Angola,PKO BP Ekstraklasa,Radomiak Radom,,,,,
11203,Pedro Capó,64,69,50,57,56,63,68,CB,2,33,Spain,ISL,Bengaluru FC,,,,,
11203,Franco Carboni,64,62,40,55,57,60,68,LB,2,21,Argentina,Serie A Enilive,Venezia,,,,,
11203,Baily Cargill,64,65,36,54,58,63,77,CB,2,29,England,EFL League One,Mansfield Town,,,,,
11203,Jonas Carls,64,82,56,56,64,54,58,LB,2,27,Germany,3. Liga,SV Sandhausen,,,,,
11203,Frederik Carlsen,64,72,61,62,67,57,66,CM,2,22,Denmark,3F Superliga,Silkeborg IF,,,,,
11203,Wikelman Carmona,64,80,57,57,69,39,58,RM,4,21,Venezuela,MLS,Red Bulls,,,,,
11203,Hussein Carneil,64,69,53,60,68,24,48,LW,3,21,Sweden,Allsvenskan,IFK Göteborg,,,,,
11203,Luis Casiani,64,73,49,57,60,59,63,RB,2,23,Venezuela,Libertadores,Caracas FC,,,,,
11203,Tommaso Cassandro,64,63,46,58,62,62,64,RB,2,24,Italy,Serie BKT,Catanzaro,,,,,
11203,Santiago Castañeda,64,70,46,60,65,65,60,CM,2,19,United States,Bundesliga 2,SC Paderborn 07,,,,,
11203,Henrik Castegren,64,56,32,53,52,63,70,CB,2,28,Sweden,Allsvenskan,IK Sirius,,,,,
11203,Marco Jair Castillo,64,79,33,57,63,55,65,RM,3,27,Ecuador,Sudamericana,Técnico U.,,,,,
11203,Luis Armando Castro,64,59,53,66,65,62,60,CM,2,28,Ecuador,Sudamericana,Delfín SC,,,,,
11203,Tomás Castro Ponce,64,67,58,62,66,50,65,CAM,3,23,Argentina,Primera División,Atlético Tucumán,,,,,
11203,Javi Castro,64,64,32,42,49,64,69,CB,2,24,Spain,LALIGA HYPERMOTION,R. Racing Club,,,,,
11203,Bruno Jordão,64,65,56,63,68,52,61,CM,3,25,Portugal,PKO BP Ekstraklasa,Radomiak Radom,,,,,
11203,Daniel Celea,64,54,38,40,45,65,71,CB,2,29,Romania,SUPERLIGA,FC Botoșani,,,,,
11203,Jurgen Çelhaka,64,64,51,63,63,59,66,CM,2,23,Albania,PKO BP Ekstraklasa,Legia Warszawa,,,,,
11203,Rodrigo Chagas,64,75,59,62,64,60,62,RW,3,21,Uruguay,Libertadores,Nacional,,,,,
11203,Luke Chambers,64,65,41,60,63,61,62,LB,2,20,England,EFL League One,Wigan Athletic,,,,,
11203,Felipe Chamorro,64,67,57,62,66,37,61,CAM,3,23,Chile,Libertadores,Palestino,,,,,
11203,Justin Che,64,73,27,55,62,61,64,RB,2,20,United States,3F Superliga,Brøndby IF,,,,,
11203,Chi Zhongguo,64,72,56,62,62,63,66,CM,3,34,China PR,CSL,Beijing FC,,,,,
11203,Fabio Chiarodia,64,66,33,49,56,65,63,CB,2,19,Italy,Bundesliga,M'gladbach,,,,,
11203,Andrei Chindriș,64,63,36,46,46,63,73,CB,2,25,Romania,PKO BP Ekstraklasa,Lechia Gdańsk,,,,,
11203,Gu Choi,64,51,22,38,35,66,69,CB,2,26,Peru,Sudamericana,ADT,,,,,
11203,Ben Chrisene,64,72,51,61,64,58,62,LB,3,20,England,EFL Championship,Norwich,,,,,
11203,Peter Buch Christiansen,64,78,60,55,66,35,66,RW,3,24,Denmark,Eliteserien,Viking FK,,,,,
11203,Sander Christiansen,64,63,53,64,64,60,60,LB,2,23,Norway,Eliteserien,Sarpsborg 08,,,,,
11203,Luciano Cingolani,64,80,61,56,67,28,42,RW,3,23,Argentina,Primera División,Godoy Cruz,,,,,
11203,Moustapha Cissé,64,77,64,51,64,21,55,ST,2,21,Guinea,CSSL,FC St. Gallen,,,,,
11203,Alphadjo Cissè,64,77,59,62,67,46,51,CAM,4,17,Italy,Serie A Enilive,Hellas Verona,,,,,
11203,Tim Civeja,64,65,57,63,66,58,65,CM,2,22,Albania,3. Liga,Saarbrücken,,,,,
11203,Nicky Clark,64,67,64,59,63,33,60,ST,2,33,Scotland,Scottish Prem,St. Johnstone,,,,,
11203,Daniel Cleary,64,52,36,44,52,62,74,CB,2,28,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers,,,,,
11203,Stefan Cleveland,64,64,62,62,66,55,64,GK,1,30,United States,MLS,Austin FC,64.0,62.0,62.0,64.0,66.0
11203,Jack Clisby,64,61,53,59,59,59,72,LB,2,32,Australia,A-League,WS Wanderers,,,,,
11203,Josh Coburn,64,58,64,47,61,22,70,ST,2,21,England,EFL Championship,Millwall,,,,,
11203,Ibrahima Conté,64,48,43,49,53,62,80,CB,2,28,Guinea,SUPERLIGA,UTA Arad,,,,,
11203,Murphy Cooper,64,65,65,60,64,41,61,GK,1,22,England,EFL League One,Stevenage,65.0,65.0,60.0,61.0,64.0
11203,Brandon Cooper,64,55,34,45,45,64,70,CB,2,24,Wales,EFL League One,Leyton Orient,,,,,
11203,Rezan Corlu,64,78,60,61,67,27,57,CAM,3,27,Denmark,3F Superliga,Lyngby BK,,,,,
11203,David Cornell,64,65,62,60,66,32,60,GK,1,33,Wales,EFL Championship,Preston,65.0,62.0,60.0,60.0,66.0
11203,Leo Cornic,64,78,38,58,64,56,60,RB,2,23,Norway,Eliteserien,Tromsø IL,,,,,
11203,Edoardo Corvi,64,66,63,61,67,25,58,GK,1,23,Italy,Serie A Enilive,Parma,66.0,63.0,61.0,58.0,67.0
11203,Barry Cotter,64,83,52,57,60,57,69,RB,3,25,Republic of Ireland,EFL League One,Barnsley,,,,,
11203,Jordan Courtney-Perkins,64,72,44,54,60,63,75,LB,2,21,Australia,A-League,Sydney FC,,,,,
11203,Jordan Cousins,64,69,50,57,63,60,68,CDM,3,30,Jamaica,EFL League One,Cambridge Utd,,,,,
11203,Artur Craciun,64,60,46,43,46,64,66,CB,2,26,Moldova,PKO BP Ekstraklasa,Puszcza,,,,,
11203,Michael Craig,64,59,37,55,62,61,63,CDM,2,21,Scotland,EFL League One,Reading,,,,,
11203,Gonzalo Crettaz,64,65,66,70,65,35,62,GK,1,24,Argentina,LALIGA HYPERMOTION,CD Castellón,65.0,66.0,70.0,62.0,65.0
11203,Jack Currie,64,76,37,52,63,58,59,LB,2,22,England,EFL League One,Leyton Orient,,,,,
11203,Ronan Curtis,64,74,64,58,64,48,73,LM,4,28,Republic of Ireland,EFL League Two,Port Vale,,,,,
11203,Pierre Da Silva,64,70,50,62,65,35,59,LM,3,26,United States,Sudamericana,UCV,,,,,
11203,Beto da Silva,64,70,65,58,66,31,46,ST,3,27,Peru,Sudamericana,ADT,,,,,
11203,Jasper Dahlhaus,64,73,58,57,66,31,54,LM,3,22,Holland,Eredivisie,Fortuna Sittard,,,,,
11203,Muhammed Damar,64,64,60,63,68,38,54,CAM,3,20,Germany,Bundesliga 2,SV Elversberg,,,,,
11203,Florian Thomas Danho,64,52,62,45,58,21,77,ST,2,24,France,3F Superliga,Randers FC,,,,,
11203,Nicolás Dávila,64,64,51,58,66,61,57,CM,3,28,Ecuador,Sudamericana,Dep. Cuenca,,,,,
11203,Yann-Erik de Lanlay,64,82,60,63,66,59,65,CM,3,32,Norway,Eliteserien,Viking FK,,,,,
11203,Vinícius Dias,64,64,59,56,67,38,64,GK,1,27,Brazil,Liga Portugal,Gil Vicente,64.0,59.0,56.0,64.0,67.0
11203,Bruno Oliveira,64,62,35,45,49,63,69,CB,2,28,Brazil,K League 1,GwangJu FC,,,,,
11203,Mathías De Ritis,64,61,47,59,59,64,66,LB,2,21,Uruguay,Primera División,Banfield,,,,,
11203,Francis de Vries,64,64,48,62,61,59,73,LB,2,29,New Zealand,A-League,Auckland FC,,,,,
11203,Max Dean,64,70,64,50,62,26,68,ST,3,20,England,1A Pro League,KAA Gent,,,,,
11203,Harlee Dean,64,49,33,45,53,62,72,CB,2,33,England,EFL League One,Reading,,,,,
11203,Patrickson Delgado,64,59,54,56,64,62,63,CM,3,20,Ecuador,MLS,FC Dallas,,,,,
11203,Cheick Diabaté,64,71,30,43,55,62,72,CB,2,22,England,EFL League Two,Bradford City,,,,,
11203,Souleymane Diaby,64,70,51,56,65,59,63,LB,3,24,Côte d'Ivoire,CSSL,FC Winterthur,,,,,
11203,Mamadou Diakhon,64,75,59,57,68,32,48,RM,3,18,France,Ligue 1 McDonald's,Stade de Reims,,,,,
11203,Ibrahim Diakité,64,77,42,51,62,61,66,RB,2,20,Guinea,1A Pro League,Cercle Brugge,,,,,
11203,Jack Diamond,64,88,58,55,65,34,58,LW,3,24,England,EFL League One,Stockport,,,,,
11203,Junior Diaz,64,77,29,48,49,64,62,CB,2,21,France,Ligue 2 BKT,ESTAC Troyes,,,,,
11203,Leandro Díaz,64,74,39,54,62,58,57,LB,2,25,Chile,Libertadores,Huachipato,,,,,
11203,Finn Jesper Dicke,64,60,47,58,59,65,63,CDM,2,20,Holland,Liga Portugal,Estoril Praia,,,,,
11203,Florian Dietz,64,73,62,43,57,25,71,ST,2,26,Germany,Bundesliga 2,1. FC Köln,,,,,
11203,Paul Digby,64,42,52,58,56,62,79,CDM,2,29,England,EFL League One,Cambridge Utd,,,,,
11203,Noah Diliberto,64,67,47,65,68,52,53,CM,3,23,France,PKO BP Ekstraklasa,Widzew Łódź,,,,,
11203,Deniz Dilmen,64,65,64,57,67,22,59,GK,1,19,Turkey,Trendyol Süper Lig,Başakşehir,65.0,64.0,57.0,59.0,67.0
11203,Ding Haifeng,64,80,52,60,65,56,64,LB,3,33,China PR,CSL,Henan FC,,,,,
11203,Mouhamed Diop,64,69,54,58,66,52,60,CM,3,23,Senegal,Ligue 2 BKT,ESTAC Troyes,,,,,
11203,Maximilian Dittgen,64,76,59,56,65,51,70,ST,3,29,Germany,3. Liga,FC Ingolstadt 04,,,,,
11203,Elijah Dixon-Bonner,64,60,54,62,66,58,60,CM,2,23,England,EFL Championship,QPR,,,,,
11203,Alexis Domínguez,64,60,63,54,54,27,72,ST,2,27,Argentina,Primera División,Barracas Central,,,,,
11203,Francesco Donati,64,70,42,58,62,60,64,RB,3,23,Italy,Serie A Enilive,Empoli,,,,,
11203,Dong Chunyu,64,64,64,63,63,43,65,GK,1,33,China PR,CSL,Zhejiang Pro,64.0,64.0,63.0,65.0,63.0
11203,Kyliane Dong,64,71,61,56,68,23,46,RM,3,19,France,Ligue 2 BKT,ESTAC Troyes,,,,,
11203,Jamie Donley,64,66,60,60,64,35,54,CAM,3,19,England,EFL League One,Leyton Orient,,,,,
11203,Liam Donnelly,64,59,65,60,64,64,69,CM,2,28,Northern Ireland,Scottish Prem,Kilmarnock,,,,,
11203,Patrick Dorgu,64,78,50,54,67,57,48,LB,2,19,Denmark,Serie A Enilive,Lecce,,,,,
11203,Jeriel Dorsett,64,71,26,50,57,62,76,CB,2,22,Montserrat,EFL League One,Reading,,,,,
11203,Griffin Dorsey,64,76,55,61,66,57,67,RB,2,25,United States,MLS,Houston Dynamo,,,,,
11203,Renato Júnior,64,64,62,47,63,27,70,ST,3,22,Brazil,3F Superliga,Viborg FF,,,,,
11203,Moussa Doumbouya,64,74,62,46,64,19,66,ST,2,26,Guinea,3. Liga,Rot-Weiss Essen,,,,,
11203,Miloš Drinčić,64,53,38,43,43,66,71,CB,2,25,Montenegro,ISL,Kerala Blasters,,,,,
11203,Moyita,64,72,63,61,66,45,55,CAM,3,32,Spain,LALIGA HYPERMOTION,CD Castellón,,,,,
11203,Andrei Dumiter,64,81,64,55,65,38,67,ST,2,25,Romania,SUPERLIGA,UTA Arad,,,,,
11203,Lucian Dumitriu,64,72,61,63,64,55,68,CM,2,31,Romania,SUPERLIGA,FC Petrolul,,,,,
11203,Jakob Maslø Dunsby,64,78,57,58,66,28,63,RW,3,24,Norway,Eliteserien,Sandefjord,,,,,
11203,Cosmin Dur-Bozoancă,64,62,63,63,66,40,65,GK,1,26,Romania,SUPERLIGA,SC Oțelul Galați,62.0,63.0,63.0,65.0,66.0
11203,Luca Dürholtz,64,64,53,61,67,59,62,CM,3,31,Germany,Bundesliga 2,SV Elversberg,,,,,
11203,Dylan Durivaux,64,85,41,50,57,57,72,RB,2,23,France,Ligue 2 BKT,Red Star FC,,,,,
11203,Xavier Dziekoński,64,64,64,63,67,32,62,GK,1,20,Poland,PKO BP Ekstraklasa,Korona Kielce,64.0,64.0,63.0,62.0,67.0
11203,George Earthy,64,67,58,61,67,38,47,CAM,3,20,England,EFL Championship,Bristol City,,,,,
11203,Simon Eastwood,64,64,64,63,64,50,64,GK,1,35,England,EFL Championship,Oxford United,64.0,64.0,63.0,64.0,64.0
11203,Tom Eaves,64,49,65,46,59,37,77,ST,2,32,England,EFL League One,Northampton,,,,,
11203,Michael Eberwein,64,71,63,60,64,34,72,CAM,3,28,Germany,3. Liga,B. Dortmund II,,,,,
11203,Eskil Edh,64,80,50,56,63,58,62,RB,2,22,Norway,Allsvenskan,AIK,,,,,
11203,Rarmani Edmonds-Green,64,68,31,54,58,62,72,CB,2,25,England,EFL League One,Charlton Ath,,,,,
11203,Tayo Edun,64,74,44,57,63,60,65,LB,2,26,England,EFL League One,Charlton Ath,,,,,
11203,Curtis Edwards,64,47,62,65,64,57,67,CM,3,30,England,EFL League Two,Notts County,,,,,
11203,Tom Edwards,64,55,46,62,62,62,74,RB,2,25,England,EFL League Two,Salford City,,,,,
11203,Ryan Edwards,64,44,35,43,43,64,72,CB,2,30,England,ISL,Chennaiyin FC,,,,,
11203,Malamine Efekele,64,86,63,55,67,19,50,RM,4,20,France,1A Pro League,Cercle Brugge,,,,,
11203,Egiluz,64,54,40,45,45,62,71,CB,2,22,Spain,LALIGA EA SPORTS,Athletic Club,,,,,
11203,Kelvin Ehibhatiomhan,64,75,63,43,62,19,66,ST,3,21,England,EFL League One,Reading,,,,,
11203,Kevin Ehlers,64,63,29,50,52,64,68,CB,2,23,Germany,Bundesliga 2,Braunschweig,,,,,
11203,Thomas Eisfeld,64,62,65,67,67,41,57,CM,3,31,Germany,3. Liga,Rot-Weiss Essen,,,,,
11203,Mourad Daoudi El Ghezouani,64,51,64,53,62,24,69,ST,3,26,Morocco,LALIGA HYPERMOTION,Elche CF,,,,,
11203,Hamza El Kaouakibi,64,69,42,52,61,61,66,RB,2,26,Morocco,Serie BKT,Südtirol,,,,,
11203,Rodney Elongo-Yombo,64,79,59,57,68,41,71,ST,3,23,Germany,3. Liga,B. Dortmund II,,,,,
11203,Xian Emmers,64,70,57,63,65,58,65,CM,3,25,Belgium,SUPERLIGA,FC Rapid 1923,,,,,
11203,Marcel Engelhardt,64,69,58,61,67,46,64,GK,1,31,Germany,Bundesliga,Holstein Kiel,69.0,58.0,61.0,64.0,67.0
11203,Ramón Enríquez,64,66,61,64,62,58,64,CM,3,23,Spain,LALIGA HYPERMOTION,Málaga CF,,,,,
11203,Matthieu Epolo,64,66,65,59,66,32,59,GK,1,19,Belgium,1A Pro League,Standard Liège,66.0,65.0,59.0,59.0,66.0
11203,Anton Eriksson,64,54,32,49,44,63,67,CB,2,24,Sweden,Allsvenskan,IFK Norrköping,,,,,
11203,Carlos Niño Espínola,64,78,34,50,54,62,65,RB,2,24,Paraguay,Sudamericana,Olimpia,,,,,
11203,Romain Esse,64,73,53,59,68,47,56,RM,3,19,England,EFL Championship,Millwall,,,,,
11203,João Tomé,64,69,42,54,61,60,63,RB,2,21,Portugal,Liga Portugal,Rio Ave FC,,,,,
11203,Pascal Estrada,64,60,43,52,56,64,68,CB,3,22,Austria,Ö. Bundesliga,SCR Altach,,,,,
11203,Sultan Farhan,64,63,42,51,57,61,78,CDM,2,27,Saudi Arabia,ROSHN Saudi League,Al Taawoun,,,,,
11203,Ángel Faría,64,66,41,57,61,62,56,RB,2,41,Venezuela,Sudamericana,Rayo Zuliano,,,,,
11203,Chico Lamba,64,66,43,48,56,63,70,CB,2,21,Portugal,Liga Portugal,Arouca,,,,,
11203,Paul Farman,64,64,58,64,65,43,65,GK,1,34,England,EFL League Two,Barrow,64.0,58.0,64.0,65.0,65.0
11203,Priestley Farquharson,64,63,33,38,42,62,79,CB,2,27,England,EFL League Two,Walsall,,,,,
11203,Costantino Favasuli,64,61,55,64,64,59,55,CM,3,20,Italy,Serie BKT,Bari,,,,,
11203,Morgan Feeney,64,66,34,41,42,62,79,CB,2,25,England,EFL League One,Shrewsbury,,,,,
11203,Kevin Felida,64,64,48,57,61,61,67,CDM,2,24,Curaçao,Eredivisie,RKC Waalwijk,,,,,
11203,Joel Felix,64,50,39,48,50,64,70,CB,2,26,Denmark,3. Liga,Arminia Bielefeld,,,,,
11203,Nicolás Fernández,64,57,30,58,62,63,67,LB,2,22,Argentina,Libertadores,Estudiantes,,,,,
11203,Gustavo Fernández,64,69,61,58,64,29,63,ST,3,34,Argentina,Primera División,Dep. Riestra,,,,,
11203,Brian Ferrares,64,61,23,50,33,67,64,CB,2,24,Uruguay,Sudamericana,Cerro Largo,,,,,
11203,Nacho Ferri,64,69,65,49,57,27,66,ST,2,19,Spain,1A Pro League,KV Kortrijk,,,,,
11203,Jayden Fevrier,64,91,55,56,65,51,78,RW,3,21,England,EFL League One,Stockport,,,,,
11203,Sebastián Figueredo,64,71,41,54,54,61,63,RB,2,23,Uruguay,Sudamericana,Wanderers,,,,,
11203,Bradley Fink,64,73,59,44,60,30,75,ST,3,21,Switzerland,CSSL,FC Basel 1893,,,,,
11203,Lewis Fiorini,64,67,59,60,66,55,59,CM,3,22,Scotland,EFL League One,Stockport,,,,,
11203,Jack Fitzwater,64,65,37,48,54,64,69,CB,2,26,England,EFL League One,Exeter City,,,,,
11203,Tom Flanagan,64,43,34,49,47,63,77,CB,2,32,Northern Ireland,EFL League Two,Colchester,,,,,
11203,Brandon Fleming,64,73,36,57,64,60,57,LB,2,24,England,EFL League Two,Doncaster,,,,,
11203,Josh Flint,64,75,44,56,60,64,66,CB,2,23,England,EFL League One,Crawley Town,,,,,
11203,Francisco Flores,64,67,36,56,59,62,74,CB,2,22,Argentina,Primera División,Atlético Tucumán,,,,,
11203,Mariusz Fornalczyk,64,88,50,50,71,27,52,RM,3,21,Poland,PKO BP Ekstraklasa,Korona Kielce,,,,,
11203,Ian Forns,64,83,53,57,65,57,59,LB,2,20,Spain,LALIGA EA SPORTS,RCD Espanyol,,,,,
11203,Will Forrester,64,56,24,47,56,63,71,CB,2,23,England,EFL League One,Bolton,,,,,
11203,Jake Forster-Caskey,64,62,60,65,65,57,63,CM,3,30,England,EFL League One,Stevenage,,,,,
11203,Antonio Foti,64,68,60,60,67,52,55,CAM,3,20,Cyprus,3. Liga,B. Dortmund II,,,,,
11203,Guillaume François,64,60,57,61,66,63,63,RB,3,34,Belgium,1A Pro League,R. Union St.-G.,,,,,
11203,Ivan Franjic,64,68,58,62,65,29,55,CAM,4,27,Croatia,3. Liga,Wehen Wiesbaden,,,,,
11203,Liam Fraser,64,60,35,59,59,61,74,CDM,2,26,Canada,MLS,FC Dallas,,,,,
11203,Nick Freeman,64,71,57,62,66,54,59,CM,3,28,England,EFL League One,Stevenage,,,,,
11203,Lewis Freestone,64,75,33,50,58,62,76,CB,2,24,England,EFL League One,Stevenage,,,,,
11203,Toni Fuidias,64,65,64,62,63,30,63,GK,1,23,Spain,LALIGA HYPERMOTION,FC Cartagena,65.0,64.0,62.0,63.0,63.0
11203,James Furlong,64,67,32,59,62,60,55,LB,2,22,Republic of Ireland,EFL League Two,AFC Wimbledon,,,,,
11203,Ethan Galbraith,64,72,59,62,66,61,60,CAM,3,23,Northern Ireland,EFL League One,Leyton Orient,,,,,
11203,Pedro Galindo,64,67,65,62,63,46,61,GK,1,29,Bolivia,Sudamericana,Real Tomayapo,67.0,65.0,62.0,61.0,63.0
11203,Jon Gallagher,64,78,58,59,64,55,61,RB,2,28,Republic of Ireland,MLS,Austin FC,,,,,
11203,Braian Galván,64,79,57,58,68,43,58,RM,3,23,Argentina,Primera División,Banfield,,,,,
11203,Marco Gantschnig,64,54,46,51,56,64,63,CB,2,26,Austria,Ö. Bundesliga,Grazer AK,,,,,
11203,Matthew Garbett,64,73,60,61,66,51,66,CAM,3,22,New Zealand,Eredivisie,NAC Breda,,,,,
11203,Luke Garbutt,64,67,53,62,60,61,64,LB,3,31,England,EFL League Two,Salford City,,,,,
11203,Naim García,64,60,63,60,68,33,50,RM,3,22,Spain,LALIGA EA SPORTS,CD Leganés,,,,,
11203,Luka Gavran,64,64,66,66,63,28,62,GK,1,24,Canada,MLS,Toronto FC,64.0,66.0,66.0,62.0,63.0
11203,Timur Gayret,64,69,58,59,66,42,57,CAM,4,26,Germany,3. Liga,SC Verl,,,,,
11203,Simon Gefvert,64,78,53,60,64,55,65,RB,2,27,Sweden,Allsvenskan,Västerås SK,,,,,
11203,Gelardo,64,64,56,63,64,51,55,CM,3,22,Spain,LALIGA HYPERMOTION,Racing de Ferrol,,,,,
11203,Georgie Gent,64,85,48,58,64,55,57,LB,3,20,England,EFL League One,Barnsley,,,,,
11203,Tyrique George,64,81,62,58,68,32,52,LM,4,18,England,Premier League,Chelsea,,,,,
11203,Alberto Gerbo,64,78,52,63,70,50,62,CM,3,34,Italy,Serie BKT,SS Juve Stabia,,,,,
11203,Alex Gersbach,64,82,35,55,61,57,73,LB,2,27,Australia,Allsvenskan,Kalmar FF,,,,,
11203,Thomas Geyer,64,66,25,44,54,65,67,CB,2,33,Germany,Bundesliga 2,SSV Ulm 1846,,,,,
11203,Ion Gheorghe,64,84,58,60,64,44,60,LM,3,24,Romania,SUPERLIGA,FC Gloria Buzău,,,,,
11203,Simone Ghidotti,64,66,64,59,64,35,63,GK,1,24,Italy,Serie BKT,Sampdoria,66.0,64.0,59.0,63.0,64.0
11203,Óscar Gil,64,46,43,57,53,64,66,CB,2,29,Spain,LALIGA HYPERMOTION,CD Castellón,,,,,
11203,Néstor Giménez,64,71,34,52,57,60,59,LB,2,27,Paraguay,Libertadores,Libertad,,,,,
11203,Andrea Giorgini,64,58,28,51,56,62,75,CB,2,22,Italy,Serie BKT,Südtirol,,,,,
11203,Edvinas Girdvainis,64,54,25,48,43,62,73,CB,2,31,Lithuania,3. Liga,SV Sandhausen,,,,,
11203,Ian Glavinovich,64,63,32,53,53,66,62,CB,2,22,Argentina,Primera División,Newell's,,,,,
11203,Michael Glück,64,62,27,43,50,64,66,CB,2,21,Austria,3. Liga,VfB Stuttgart II,,,,,
11203,Marcus Godinho,64,75,31,55,68,57,65,LB,3,27,Canada,PKO BP Ekstraklasa,Korona Kielce,,,,,
11203,Fernando Godoy,64,58,55,62,63,64,68,CM,2,34,Argentina,Primera División,Sarmiento,,,,,
11203,Alan Godoy,64,74,62,48,68,31,60,ST,2,21,Spain,LALIGA HYPERMOTION,CD Eldense,,,,,
11203,Udoka Godwin-Malife,64,81,32,53,59,61,75,CB,2,24,England,EFL League One,Burton Albion,,,,,
11203,Alex Gogić,64,46,45,51,52,62,77,CB,2,30,Cyprus,Scottish Prem,St. Mirren,,,,,
11203,Nicolás Goitea,64,57,24,42,51,66,62,CB,2,27,Argentina,Sudamericana,Delfín SC,,,,,
11203,Luka Gojković,64,69,56,64,66,33,54,CAM,3,24,Serbia,SUPERLIGA,FC Rapid 1923,,,,,
11203,Julian Gölles,64,74,54,54,58,61,69,RB,3,24,Austria,Ö. Bundesliga,Blau-Weiss Linz,,,,,
11203,David Tavares,64,72,56,59,67,59,74,CM,3,25,Cape Verde Islands,SUPERLIGA,FC Gloria Buzău,,,,,
11203,Erick Gonzáles,64,59,32,56,52,59,69,CDM,2,28,Peru,Sudamericana,Dep. Garcilaso,,,,,
11203,Brian González,64,75,61,61,65,37,57,RM,3,25,Uruguay,Sudamericana,Cerro Largo,,,,,
